trial,nrmse,n_res,rho,density,input_scale,leak_rate,reg,washout,train_len,test_len
266,0.04624521,752,0.98799221,0.24297003,4.64252281,0.45259878,0.07967020,214,4850,3604
267,0.09996235,955,0.79671434,0.49739681,2.88890551,0.55069955,0.16258245,345,20607,4890
268,0.05014067,181,0.51839619,0.27614005,1.40025691,0.66938407,0.06060412,383,10948,2336
269,0.06726876,933,0.91398642,0.37544376,0.84780190,0.34707571,0.35725265,419,4409,7068
270,0.09970045,876,0.85043027,0.21951317,3.62307093,0.30126207,0.23789893,175,19959,7187
271,0.05296797,248,0.68545049,0.38810295,2.68297213,0.55138687,0.29641644,365,16774,3471
272,0.48744934,456,0.86915530,0.22318794,0.48995082,0.84998830,0.04930192,92,14863,3504
273,0.19777404,305,0.91147480,0.47930240,3.96194383,0.12331286,0.02276998,602,4190,6844
274,0.15686147,170,1.03322312,0.32144347,3.78997583,0.18610178,0.38156761,485,2301,5619
275,0.22823181,107,1.01028947,0.15892935,4.44465558,0.43023519,0.03972228,106,13529,3084
276,0.07549932,434,0.68289377,0.28789476,1.00226525,0.38902658,0.49631152,314,11944,2694
277,0.21224783,992,0.99827773,0.09708643,0.23906664,0.46843864,0.37037466,420,10287,2144
278,0.16782624,936,0.80032965,0.13343879,1.46163882,0.19402845,0.15309331,150,7586,7301
279,0.04435466,684,0.59659728,0.34699550,4.69870686,0.59953910,0.09959973,393,5891,6324
280,0.05908281,578,0.59501885,0.28633027,4.45752888,0.52410281,0.23423102,560,19514,7111
281,1.08545955,726,0.52492974,0.10014258,2.48237722,0.04854381,0.16391577,391,19036,6615
282,6.06525910,786,1.02496295,0.40468922,2.62833946,0.07167479,0.03873769,173,19046,4664
283,0.24149273,551,0.82028981,0.12057603,4.28909559,0.10459672,0.15197390,586,5606,4070
284,0.05563063,192,0.70231937,0.03605994,0.39596802,0.52164467,0.39561917,505,22260,5187
285,0.03676386,259,0.99342825,0.41859629,1.86564878,0.87554026,0.30642562,338,16154,5654
286,0.03173936,917,0.89668379,0.34713632,1.30805830,0.84475938,0.39277153,230,5692,4071
